20241,U,관광특구,3001491,이태원 관광특구,CS100010,커피-음료,4183048862,376337,2564269726,1618779136,518252543,427253691,507642862,506701505,604419125,890816849,727962287,59463916,366449556,1210672734,1445906827,941942993,158612836,1525693396,2312448304,18098385,1137224114,1472674506,588676988,424820294,196647416,248087,128250,46402,44533,48265,51424,57463,70625,57625,4632,47049,109211,123631,78563,13251,153037,194278,1731,97938,133977,56288,41061,16314
20191,U,관광특구,3001491,이태원 관광특구,CS300011,일반의류,14442732503,173269,6865523129,7577209374,995998275,1044655820,1398798876,1583055655,1843014503,3672527907,3904681467,2051658651,267464384,2808537918,4247013963,4526090477,541967110,7143127753,7121590264,161618730,4314474932,3344768818,2320425550,2923526093,1199903894,72128,101141,11129,12687,14239,13417,20656,50305,50836,52459,2669,19889,37140,47163,13949,81484,90978,3306,88076,39466,16640,18108,6865
20192,U,관광특구,3001491,이태원 관광특구,CS200006,일반의원,503351249,10681,418326021,85025228,111853396,129985777,60726550,44081291,71679007,85025228,0,0,82452901,183477420,150980220,86440708,0,229067454,266441747,212399,111765915,175725497,51648360,106359818,49797211,9004,1677,2365,1915,1643,1185,1896,1677,0,0,2776,2662,3180,2063,0,4396,6102,33,2847,2579,1556,2197,1284
20192,U,관광특구,3001491,이태원 관광특구,CS300024,운동/경기용품,1780874102,17754,998959645,781914457,232516855,173466907,179940751,197909306,215125826,412364732,369549725,0,2470114,422729180,553072226,679755792,122846790,1025512862,701495191,17218657,368567024,593314806,438816662,175197890,133893015,10178,7576,2404,1893,1903,1980,1998,3847,3729,0,77,3406,5347,7559,1365,9224,8190,286,5119,5303,4072,1641,994
20193,U,관광특구,3001491,이태원 관광특구,CS200029,네일숍,81341140,1059,40249111,41092029,6036475,8304582,7113440,7040092,11754522,23842378,17249651,0,202907,9726841,24889320,37207415,9314657,27102241,54238899,0,13859149,35897318,10221425,9663338,11699910,609,450,76,130,128,84,191,289,161,0,13,102,379,476,89,337,722,0,253,360,152,147,147
20193,U,관광특구,3001491,이태원 관광특구,CS300020,서적,936471897,12467,537589552,398882345,123564978,85284659,105292737,96430570,127016608,199634370,199247975,0,61925,145696991,386637275,404044743,30963,397195012,539276885,21140274,537250077,227831438,97520728,35918680,16810700,7046,5421,1318,1380,1470,1162,1716,2769,2652,0,6,1990,4873,5586,12,3798,8669,314,7859,2577,913,647,157
20194,U,관광특구,3001491,이태원 관광특구,CS200029,네일숍,76699978,1191,52171326,24528652,10386287,5799622,9526327,10344538,16114552,11593348,12935304,0,735537,15833897,23104639,33595557,3430348,26619800,50080178,278997,13151332,23628113,25273206,4261040,10107290,856,335,128,162,134,147,285,196,139,0,26,224,328,523,90,367,824,13,234,327,377,101,139
20201,U,관광특구,3001491,이태원 관광특구,CS100004,양식음식점,13568506176,373310,7208278840,6360227336,1113072829,956130231,1406228122,1392998381,2339849277,3654268145,2705959191,2515379673,196939976,877349077,1135196582,4555912828,4287728040,7412713753,5564603129,154424386,6808258194,3717871272,1181174781,845210200,270378053,193456,179854,31042,26182,37817,37360,61055,98234,81620,89200,6935,25784,35905,108883,106603,206746,160350,5403,199022,103792,29381,22060,7431
20201,U,관광특구,3001491,이태원 관광특구,CS300022,화장품,6925657567,303430,4407556759,2518100808,794322658,804097200,866219239,916248058,1026669604,1309533582,1208567226,0,129192796,950539981,1713177063,3199628922,933118805,2026303579,4899353988,84044920,3371068887,1861744078,764674700,608095355,236029627,191235,112195,33678,35039,37396,37103,48019,61833,50362,0,4782,40189,71546,140014,46899,81302,222128,3544,164178,78553,26703,22993,7459
20202,U,관광특구,3001491,이태원 관광특구,CS300011,일반의류,10849806961,109018,6672732936,4177074025,1128517722,1157294498,1219861873,1606889735,1560169108,2233785550,1943288475,225583957,178773511,2626332226,4186343130,3384415357,248358780,5239965138,5142764301,56894964,2520424133,2673881969,2122758301,1673888027,1334882046,62779,46239,10347,12871,11561,14348,13652,23965,22274,8432,937,18612,37185,39385,4467,51141,56672,1351,44813,27472,14699,13104,6373
20203,U,관광특구,3001491,이태원 관광특구,CS200006,일반의원,465610439,8901,407426511,58183928,83972451,79106129,56166534,34673179,153508218,58183928,0,0,68230044,182143065,116931884,98305446,0,236686659,226659303,851419,104415660,130651616,152626152,46379303,28421811,7774,1127,1842,1440,1352,1197,1943,1127,0,0,1782,2542,2956,1621,0,3592,5243,11,2427,2566,1373,1310,1147
20203,U,관광특구,3001491,이태원 관광특구,CS300028,화초,78759763,1880,43543129,35216634,1556499,11375329,13352406,7589982,9668913,33567833,1648801,0,3183161,6685943,36898028,31263952,728679,21567965,41188504,0,23717976,33853512,1059453,3963599,161929,1125,755,48,335,226,166,350,666,89,0,30,179,576,1047,48,792,979,0,991,599,56,116,11
20204,U,관광특구,3001491,이태원 관광특구,CS100006,패스트푸드점,1767247611,146614,1019836102,747411509,176095494,177668643,178597318,198971980,288502667,384484844,362926665,232124512,53770669,310009757,296652495,556544255,318145923,1215167173,500980894,22260855,809242671,513030007,191103733,128687044,51823755,89075,57539,16926,15830,15982,17521,22816,29153,28386,21270,8587,24170,24775,41862,25950,100613,43966,2052,65949,42669,16941,11179,5789
